folder,case_id,dice_avg,hd95_avg,dice_class_1,avg_mbps,bits_per_voxel
libaom_av1_crf23,00761,0.8882416486,4.4669138908,0.8882416486,,
libaom_av1_crf23,01043,0.7191669679,7.4205999374,0.7191669679,,
libaom_av1_crf23,00788,0.9197017131,3.2967967987,0.9197017131,,
libaom_av1_crf23,01057,0.8507158543,4.2256693840,0.8507158543,,
libaom_av1_crf23,00802,0.7940414781,6.4253830910,0.7940414781,,
libaom_av1_crf23,00961,0.8575353679,4.5389652252,0.8575353679,,
libaom_av1_crf23,01202,0.8841507993,5.7827339172,0.8841507993,,
libaom_av1_crf23,01230,0.8506270167,4.4493350983,0.8506270167,,
libaom_av1_crf23,01122,0.8275348206,4.0419058800,0.8275348206,,
libaom_av1_crf23,01258,0.8832878645,3.4820466042,0.8832878645,,
libaom_av1_crf23,01333,0.8957299422,3.3773069263,0.8957299422,,
libaom_av1_crf23,01162,0.8088883496,5.5809187889,0.8088883496,,
libaom_av1_crf23,01385,0.8597796691,5.3872518539,0.8597796691,,
libaom_av1_crf23,01443,0.7745178135,12.5474319458,0.7745178135,,
libaom_av1_crf23,01283,0.9155893015,2.7612402439,0.9155893015,,
libaom_av1_crf23,01305,0.9135541525,3.0408284664,0.9135541525,,
libaom_av1_crf23,01563,0.8545656126,4.1359171867,0.8545656126,,
libaom_av1_crf23,01400,0.8722410622,3.9973550200,0.8722410622,,
libaom_av1_crf23,01370,0.8767416681,4.4304485321,0.8767416681,,
libaom_av1_crf23,01419,0.7548729393,7.9489297867,0.7548729393,,
libaom_av1_crf23,01535,0.8705633245,4.4940671921,0.8705633245,,
libaom_av1_crf28,00041,0.8735654364,3.9802017212,0.8735654364,,
libaom_av1_crf23,01738,0.8319119614,4.2730545998,0.8319119614,,
libaom_av1_crf23,01711,0.7342558064,7.6436443329,0.7342558064,,
libaom_av1_crf23,01567,0.8640477149,6.7036638260,0.8640477149,,
libaom_av1_crf23,01636,0.8779567202,5.8519563675,0.8779567202,,
libaom_av1_crf23,01618,0.8033164089,5.8216233253,0.8033164089,,
libaom_av1_crf28,00066,0.8475680675,5.2668725252,0.8475680675,,
libaom_av1_crf28,00084,0.8112411901,5.7244081497,0.8112411901,,
libaom_av1_crf28,00225,0.8204576333,7.6315124512,0.8204576333,,
libaom_av1_crf28,00088,0.8469361591,4.9738183022,0.8469361591,,
libaom_av1_crf28,00085,0.8585356327,4.0276780128,0.8585356327,,
libaom_av1_crf28,00086,0.8278983883,5.4037008286,0.8278983883,,
